timestep,avg_speed,congestion_fraction
703,21.459958,0.745000
704,21.432342,0.749000
705,21.662281,0.745000
706,21.701692,0.742000
707,21.898382,0.736000
708,21.955337,0.738000
709,21.927017,0.732000
710,21.459429,0.733000
711,21.443867,0.728000
712,21.561105,0.722000
713,21.587576,0.714000
714,21.852735,0.713000
715,21.948350,0.711000
716,21.901483,0.713000
717,22.047733,0.712000
718,22.053155,0.720000
719,21.749548,0.725000
720,21.799554,0.723000
721,21.668192,0.736000
722,21.706993,0.735000
723,21.634617,0.737000
724,21.733775,0.730000
725,21.692442,0.728000
726,21.519642,0.728000
727,21.698124,0.729000
728,21.480439,0.736000
729,21.468952,0.740000
730,21.355604,0.739000
731,21.273913,0.736000
732,20.949433,0.750000
733,20.709585,0.748000
734,20.856216,0.744000
735,21.096053,0.735000
736,21.355037,0.730000
737,21.639475,0.732000
738,21.763676,0.734000
739,21.451372,0.741000
740,21.479558,0.731000
741,21.549805,0.736000
742,21.582413,0.731000
743,21.899158,0.724000
744,22.200426,0.727000
745,21.856572,0.739000
746,21.941251,0.735000
747,21.761542,0.737000
748,21.739543,0.741000
749,21.835897,0.735000
750,21.975023,0.726000
751,22.089075,0.721000
752,22.199462,0.718000
753,22.134066,0.717000
754,22.416400,0.708000
755,22.204202,0.715000
756,22.281158,0.720000
757,22.387700,0.709000
758,22.272027,0.721000
759,22.208664,0.722000
760,22.581559,0.718000
761,22.754524,0.709000
762,22.656881,0.717000
763,22.853308,0.708000
764,22.988296,0.706000
765,22.764958,0.719000
766,22.683993,0.708000
767,22.383453,0.717000
768,22.058714,0.710000
769,22.125205,0.714000
770,21.788484,0.723000
771,21.944715,0.714000
772,21.788240,0.723000
773,21.737188,0.719000
774,21.854703,0.712000
775,21.759986,0.721000
776,21.927945,0.722000
777,21.922288,0.728000
778,21.928405,0.725000
779,21.892547,0.730000
780,22.071411,0.721000
781,22.206622,0.721000
782,21.873126,0.730000
783,21.282772,0.736000
784,21.129999,0.737000
785,21.304251,0.735000
